trip_id,customer_id,driver_id,pickup_location,drop_location,distance_km,fare_amount,payment_method,trip_status,trip_timestamp
87,5,357,Andheri,Whitefield,13.76,297.2,Cash,Cancelled,2026-05-26 11:35:12
88,859,307,Gachibowli,Gachibowli,26.11,451.29,Card,Cancelled,2026-03-24 20:08:01
89,222,156,Andheri,Koramangala,17.11,344.78,Cash,Completed,2025-12-03 15:01:02
90,634,177,Connaught Place,Gachibowli,9.83,155.09,Card,Cancelled,2026-07-02 21:19:17
91,157,46,Andheri,Banjara Hills,3.03,46.12,Card,Cancelled,2026-01-14 11:21:41
92,826,282,Indiranagar,Whitefield,16.84,402.53,Card,Cancelled,2026-05-12 20:51:39
93,550,463,Andheri,Koramangala,9.56,210.41,Card,Completed,2025-12-16 07:09:21
94,551,154,Koramangala,Hitech City,27.86,499.41,Cash,Completed,2025-08-17 04:54:52
95,530,282,Indiranagar,Andheri,24.75,596.31,Card,Completed,2025-12-22 07:00:39
96,859,114,Hitech City,Gachibowli,29.58,715.14,Cash,Completed,2026-01-16 17:28:24
97,905,151,Connaught Place,Andheri,7.94,193.69,Card,Completed,2026-07-08 11:47:49
98,467,363,Connaught Place,Hitech City,24.88,388.62,UPI,Cancelled,2025-09-17 01:33:28
99,719,365,Andheri,Hitech City,29.1,724.06,Card,Completed,2026-01-05 23:13:15
100,308,163,Indiranagar,Banjara Hills,8.28,155.24,UPI,Cancelled,2025-10-23 06:42:35
101,791,78,Whitefield,Hitech City,9.83,218.08,Card,Cancelled,2025-10-15 07:09:46
102,380,213,Whitefield,Hitech City,22.76,372.47,Cash,Completed,2025-09-16 10:31:36
103,508,440,Koramangala,Gachibowli,22.45,533.73,UPI,Cancelled,2026-03-02 04:00:10
104,833,132,Indiranagar,Whitefield,26.32,429.6,Cash,Cancelled,2026-06-19 00:23:01
105,325,226,Andheri,Gachibowli,19.46,299.56,UPI,Completed,2026-04-11 00:14:11
106,854,175,Hitech City,Connaught Place,18.18,448.2,UPI,Cancelled,2026-05-15 01:49:26
107,455,188,Koramangala,Indiranagar,5.95,96.82,Card,Completed,2026-03-12 18:47:54
108,982,307,Indiranagar,Connaught Place,3.24,62.88,Cash,Completed,2026-05-07 18:59:16
109,286,161,Indiranagar,Connaught Place,7.49,151.05,Card,Completed,2026-03-27 13:51:18
110,695,266,Indiranagar,Whitefield,22.14,485.64,Cash,Completed,2025-08-09 13:50:34
111,112,131,Koramangala,Koramangala,28.66,564.65,UPI,Completed,2025-09-13 01:37:39
112,524,34,Indiranagar,Hitech City,26.21,643.19,Cash,Completed,2026-06-01 14:55:06
113,313,82,Hitech City,Banjara Hills,29.61,468.99,Card,Completed,2026-07-11 22:55:47
114,851,15,Gachibowli,Andheri,14.86,355.26,Card,Completed,2026-06-05 21:38:58
115,914,130,Indiranagar,Gachibowli,22.52,389.44,Card,Completed,2025-09-20 06:33:05
116,500,293,Koramangala,Banjara Hills,3.19,71.39,Card,Completed,2026-06-25 07:42:35
117,550,81,Indiranagar,Koramangala,21.81,392.8,Card,Completed,2025-09-27 16:24:42
118,185,371,Hitech City,Gachibowli,13.04,252.89,UPI,Completed,2026-06-19 19:17:08
119,115,10,Whitefield,Andheri,25.54,574.59,Cash,Completed,2026-03-11 17:48:43
120,140,151,Koramangala,Gachibowli,28.92,681.0,Card,Completed,2025-11-15 15:38:01
121,515,20,Gachibowli,Banjara Hills,5.73,91.03,Cash,Completed,2026-06-06 03:54:11
122,905,21,Whitefield,Gachibowli,8.78,156.23,Cash,Completed,2026-06-17 22:18:47
123,971,224,Andheri,Gachibowli,7.99,138.75,UPI,Completed,2026-06-23 02:41:19
124,532,133,Gachibowli,Connaught Place,25.37,410.3,Cash,Completed,2026-07-08 20:07:16
125,32,5,Connaught Place,Banjara Hills,22.02,424.98,Card,Completed,2026-07-14 18:18:34
126,355,405,Hitech City,Whitefield,18.5,327.59,UPI,Completed,2026-05-05 02:18:04
127,204,214,Gachibowli,Connaught Place,24.06,463.9,Card,Completed,2026-01-22 04:15:16
128,21,339,Indiranagar,Hitech City,3.76,84.58,UPI,Cancelled,2025-08-06 03:30:24
129,94,361,Andheri,Gachibowli,17.23,371.95,UPI,Completed,2025-09-13 11:21:46
130,499,452,Gachibowli,Koramangala,23.42,577.03,Card,Cancelled,2026-06-12 17:09:40
131,424,43,Indiranagar,Indiranagar,4.12,83.69,Card,Completed,2026-02-02 16:31:24
132,531,371,Indiranagar,Koramangala,29.56,593.83,UPI,Completed,2025-11-27 20:48:54
133,456,87,Whitefield,Whitefield,9.26,163.41,UPI,Cancelled,2026-07-20 18:48:10
134,93,51,Hitech City,Banjara Hills,29.42,517.58,Cash,Completed,2025-11-21 04:05:19
135,158,322,Indiranagar,Whitefield,25.47,403.01,UPI,Completed,2026-02-11 22:34:57
136,727,200,Indiranagar,Koramangala,18.6,397.24,Card,Completed,2026-01-06 23:46:55
137,825,466,Koramangala,Connaught Place,26.78,493.73,Card,Cancelled,2025-10-18 22:54:19
138,393,438,Whitefield,Connaught Place,25.39,433.12,Card,Completed,2025-09-12 02:08:18
139,233,5,Hitech City,Gachibowli,5.05,84.33,UPI,Completed,2026-03-26 16:10:18
140,928,486,Banjara Hills,Connaught Place,20.85,337.67,Cash,Cancelled,2026-04-15 06:31:45
141,852,357,Hitech City,Banjara Hills,20.04,343.72,Card,Completed,2026-07-19 09:44:02
142,736,286,Andheri,Andheri,20.54,499.11,Cash,Cancelled,2026-07-01 03:13:04
143,41,366,Indiranagar,Gachibowli,22.76,419.75,UPI,Completed,2026-04-03 00:32:33
144,431,500,Indiranagar,Koramangala,18.49,392.58,Card,Cancelled,2025-08-30 08:46:25
145,340,466,Andheri,Whitefield,17.81,372.02,UPI,Cancelled,2025-10-31 15:48:23
146,187,458,Hitech City,Connaught Place,6.67,139.33,UPI,Completed,2026-02-24 16:25:50
147,616,330,Whitefield,Koramangala,13.39,333.6,Cash,Completed,2025-11-03 06:06:22
148,926,46,Koramangala,Hitech City,7.73,173.77,UPI,Completed,2026-03-28 01:42:01
149,276,339,Connaught Place,Connaught Place,5.48,133.9,Card,Completed,2026-03-03 22:40:29
150,994,339,Whitefield,Indiranagar,5.34,132.39,Card,Completed,2025-11-01 05:25:34
151,925,486,Hitech City,Koramangala,13.53,253.3,Cash,Completed,2025-08-29 03:22:11
152,424,404,Whitefield,Hitech City,9.71,200.13,UPI,Completed,2025-12-04 01:13:34
153,643,103,Andheri,Whitefield,26.91,480.0,Cash,Completed,2025-10-03 13:49:10
154,358,55,Hitech City,Andheri,10.47,217.15,UPI,Cancelled,2026-05-21 13:04:25
155,581,317,Whitefield,Hitech City,22.51,540.24,Card,Completed,2025-12-22 01:37:16
156,14,9,Connaught Place,Indiranagar,12.11,274.92,Cash,Cancelled,2026-02-23 23:42:56
157,561,469,Koramangala,Hitech City,29.7,516.63,Card,Completed,2025-10-05 08:34:14
158,684,344,Indiranagar,Banjara Hills,15.71,270.78,UPI,Completed,2026-02-20 15:52:16
159,899,426,Banjara Hills,Koramangala,29.0,720.44,Card,Cancelled,2026-01-01 11:42:58
160,932,285,Koramangala,Koramangala,11.38,201.83,Card,Completed,2025-10-29 16:44:35
161,330,196,Whitefield,Andheri,17.38,429.37,UPI,Cancelled,2026-03-01 14:48:01
162,293,266,Connaught Place,Gachibowli,22.69,501.61,Card,Completed,2025-10-05 09:12:46
163,903,305,Andheri,Koramangala,3.17,66.93,Cash,Completed,2026-06-12 15:57:40
164,956,20,Andheri,Andheri,12.15,202.08,Card,Cancelled,2025-10-29 11:10:37
165,245,105,Indiranagar,Gachibowli,28.18,470.21,Cash,Completed,2026-05-02 09:21:45
166,600,195,Hitech City,Hitech City,17.76,432.75,Cash,Completed,2026-04-06 17:59:59
167,871,412,Banjara Hills,Gachibowli,24.0,467.95,Cash,Cancelled,2026-06-04 08:25:28
168,556,138,Connaught Place,Koramangala,19.24,440.33,UPI,Cancelled,2026-04-15 07:42:30
169,204,321,Koramangala,Hitech City,14.52,278.77,Card,Cancelled,2025-09-15 17:32:44
170,15,337,Hitech City,Connaught Place,16.75,356.72,Cash,Completed,2026-06-04 18:29:09
171,555,192,Whitefield,Connaught Place,11.05,183.0,Cash,Completed,2026-06-10 18:43:22
172,828,134,Andheri,Koramangala,29.23,592.63,UPI,Cancelled,2026-04-17 00:36:13
173,177,14,Koramangala,Andheri,17.45,417.2,Card,Completed,2025-12-23 20:54:37
174,960,338,Hitech City,Andheri,4.99,119.2,Card,Cancelled,2026-02-13 01:25:11
175,669,391,Koramangala,Andheri,3.51,58.93,Card,Cancelled,2026-04-17 15:18:33
176,351,490,Whitefield,Banjara Hills,17.1,269.98,Card,Completed,2026-05-16 23:38:32
177,818,133,Andheri,Andheri,5.82,126.28,UPI,Completed,2026-05-12 02:23:10
178,389,179,Whitefield,Connaught Place,15.41,341.99,UPI,Completed,2026-06-10 13:23:43
179,63,315,Andheri,Koramangala,2.9,55.87,UPI,Completed,2026-05-11 23:17:40
180,192,140,Andheri,Andheri,17.04,296.45,Card,Cancelled,2026-06-06 14:01:27
181,678,474,Banjara Hills,Connaught Place,5.31,86.52,UPI,Cancelled,2026-07-21 18:33:33
182,170,353,Indiranagar,Andheri,3.58,56.44,Cash,Completed,2026-05-11 20:06:53
183,809,217,Gachibowli,Connaught Place,9.47,232.44,Card,Completed,2026-07-11 19:51:28
184,632,262,Whitefield,Whitefield,29.23,654.78,UPI,Cancelled,2026-05-24 10:49:20
185,904,91,Andheri,Andheri,24.17,482.61,UPI,Cancelled,2025-10-06 02:34:00
186,407,188,Banjara Hills,Indiranagar,16.93,289.11,UPI,Completed,2026-03-05 06:10:29
187,436,254,Hitech City,Banjara Hills,14.31,339.33,Cash,Completed,2026-01-21 12:33:40
188,864,415,Andheri,Gachibowli,12.47,292.98,UPI,Completed,2025-09-27 06:17:04
189,988,1,Gachibowli,Andheri,28.02,550.4,UPI,Completed,2025-10-30 05:15:25
190,71,73,Banjara Hills,Indiranagar,27.49,675.4,Cash,Completed,2025-10-28 14:01:53
191,849,165,Whitefield,Whitefield,19.46,464.35,Card,Completed,2025-11-16 23:59:52
192,851,440,Koramangala,Gachibowli,8.72,136.23,UPI,Completed,2026-02-09 08:01:53
193,733,200,Indiranagar,Whitefield,24.68,391.93,Card,Cancelled,2025-10-12 03:37:35
194,745,337,Indiranagar,Connaught Place,17.43,290.65,UPI,Completed,2025-10-11 09:35:19
195,587,379,Whitefield,Banjara Hills,26.58,593.54,UPI,Cancelled,2025-11-28 14:05:51
196,344,471,Banjara Hills,Koramangala,4.58,109.97,Cash,Completed,2025-11-08 18:02:52
197,416,486,Connaught Place,Koramangala,13.68,328.61,UPI,Completed,2025-10-14 06:04:06
198,886,295,Banjara Hills,Indiranagar,19.26,323.86,UPI,Completed,2026-06-03 14:01:49
199,506,60,Gachibowli,Whitefield,20.78,444.48,Card,Completed,2026-05-25 13:14:30
200,107,466,Connaught Place,Indiranagar,17.67,411.86,Card,Completed,2026-07-16 13:55:28
201,483,354,Andheri,Whitefield,3.63,72.64,UPI,Completed,2025-12-19 01:08:54
202,947,316,Connaught Place,Indiranagar,5.92,120.1,UPI,Completed,2025-10-01 09:47:28
203,795,290,Connaught Place,Koramangala,15.45,289.42,UPI,Completed,2025-09-20 12:44:19
204,210,472,Koramangala,Gachibowli,5.79,89.5,UPI,Completed,2026-01-14 13:45:23
205,416,495,Whitefield,Banjara Hills,11.76,193.86,UPI,Completed,2026-02-06 01:10:40
206,140,419,Koramangala,Gachibowli,11.16,206.3,Card,Completed,2025-11-15 03:15:24
207,47,492,Connaught Place,Indiranagar,20.02,484.23,Card,Completed,2025-08-26 01:10:08
208,891,145,Connaught Place,Connaught Place,19.37,372.24,Card,Completed,2026-03-04 12:14:09
209,243,286,Koramangala,Hitech City,10.01,249.24,Card,Completed,2026-01-12 00:26:01
210,280,199,Koramangala,Indiranagar,3.48,66.71,Card,Completed,2025-10-14 04:09:13
211,143,421,Hitech City,Connaught Place,2.93,52.54,Cash,Completed,2025-09-28 22:32:25
212,692,198,Banjara Hills,Banjara Hills,24.17,529.77,UPI,Cancelled,2026-05-30 22:39:33
213,764,39,Koramangala,Banjara Hills,28.3,460.33,UPI,Completed,2025-08-23 04:58:29
214,233,234,Andheri,Connaught Place,24.65,408.79,UPI,Completed,2025-08-03 07:13:02
215,878,210,Whitefield,Gachibowli,27.87,577.32,Card,Completed,2026-02-18 02:07:03
216,190,196,Banjara Hills,Whitefield,25.49,513.21,UPI,Completed,2026-05-29 08:27:08
217,695,70,Andheri,Andheri,23.19,499.29,UPI,Completed,2026-06-22 08:47:02
218,392,479,Gachibowli,Gachibowli,15.66,302.65,Card,Cancelled,2026-03-12 21:13:02
219,434,8,Gachibowli,Gachibowli,22.1,480.14,Card,Completed,2025-08-09 01:04:51
220,921,365,Indiranagar,Indiranagar,26.8,554.23,Cash,Completed,2026-03-20 22:05:26
221,964,289,Gachibowli,Andheri,28.64,571.88,Cash,Completed,2025-10-10 05:21:37
222,308,60,Whitefield,Andheri,26.2,566.66,UPI,Completed,2025-12-26 03:58:19
223,452,455,Koramangala,Andheri,7.83,117.94,Card,Cancelled,2025-09-11 00:09:30
224,271,141,Andheri,Banjara Hills,25.01,394.97,Card,Completed,2026-03-27 00:51:32
225,131,98,Andheri,Indiranagar,26.08,527.8,Cash,Completed,2026-05-02 17:27:24
226,399,314,Banjara Hills,Hitech City,19.07,415.21,Card,Completed,2025-12-17 19:03:10
227,900,65,Banjara Hills,Banjara Hills,24.46,582.17,Card,Completed,2026-03-16 12:44:30
228,813,324,Andheri,Connaught Place,20.64,490.23,UPI,Completed,2025-08-08 12:51:27
229,385,7,Indiranagar,Gachibowli,9.37,177.52,UPI,Completed,2026-02-05 08:55:41
230,7,12,Hitech City,Koramangala,29.77,593.5,Cash,Completed,2026-06-08 01:00:43
231,561,259,Hitech City,Gachibowli,21.07,380.97,Cash,Completed,2026-04-03 20:24:54
232,949,384,Indiranagar,Koramangala,13.68,294.64,Cash,Completed,2026-06-01 11:42:52
233,111,131,Andheri,Andheri,4.32,74.46,Card,Cancelled,2026-01-08 17:35:31
234,792,214,Gachibowli,Connaught Place,25.01,538.89,Card,Completed,2026-03-09 05:14:10
235,739,175,Banjara Hills,Banjara Hills,10.97,186.54,Cash,Completed,2026-03-18 20:32:33
236,675,277,Gachibowli,Whitefield,29.3,721.86,Card,Completed,2025-08-25 18:48:33
237,790,455,Koramangala,Connaught Place,22.53,436.34,Cash,Completed,2026-04-17 22:08:59
238,932,366,Hitech City,Koramangala,12.2,242.08,Cash,Completed,2026-07-05 16:29:29
239,351,489,Connaught Place,Hitech City,20.29,329.35,Card,Cancelled,2026-04-28 08:19:33
240,538,333,Whitefield,Whitefield,12.13,234.52,Cash,Cancelled,2025-12-23 05:59:57
241,322,135,Hitech City,Indiranagar,15.66,287.33,Card,Completed,2025-12-06 05:00:50
242,675,351,Whitefield,Gachibowli,14.66,284.98,Cash,Completed,2026-02-14 03:44:55
243,476,72,Whitefield,Andheri,16.27,262.87,Card,Completed,2026-05-13 20:04:58
244,455,385,Andheri,Connaught Place,10.66,165.22,Card,Completed,2026-06-24 00:07:04
245,194,77,Koramangala,Hitech City,17.7,431.9,Card,Cancelled,2025-11-07 00:16:44
246,399,468,Hitech City,Gachibowli,29.13,543.51,UPI,Completed,2025-10-28 01:52:36
247,807,134,Gachibowli,Indiranagar,12.64,191.98,Cash,Cancelled,2025-08-25 15:04:30
248,169,360,Gachibowli,Andheri,21.26,352.53,Card,Completed,2025-07-23 06:26:45
249,77,233,Gachibowli,Andheri,28.49,643.85,UPI,Cancelled,2025-11-17 10:57:20
250,406,238,Connaught Place,Connaught Place,4.41,106.68,Card,Completed,2026-05-01 15:09:57
251,835,383,Hitech City,Banjara Hills,22.51,446.74,Card,Completed,2025-09-19 09:15:10
252,547,147,Whitefield,Banjara Hills,2.41,48.62,UPI,Completed,2025-09-24 03:56:44
253,308,25,Connaught Place,Connaught Place,20.21,491.95,UPI,Completed,2025-10-22 04:18:38
254,277,231,Indiranagar,Andheri,18.1,370.84,Cash,Completed,2026-03-25 01:54:16
255,499,280,Connaught Place,Koramangala,22.27,392.11,UPI,Completed,2025-09-26 21:57:42
256,41,435,Banjara Hills,Whitefield,21.58,401.68,UPI,Completed,2026-04-18 23:16:52
257,738,444,Andheri,Connaught Place,12.82,251.14,UPI,Completed,2026-04-07 05:01:18
258,927,47,Indiranagar,Banjara Hills,14.7,248.32,Cash,Completed,2026-03-25 12:51:14
259,18,148,Koramangala,Indiranagar,26.07,413.57,UPI,Completed,2026-05-18 17:44:15
260,26,487,Gachibowli,Banjara Hills,15.46,372.71,Card,Completed,2025-10-04 11:03:22
261,422,11,Koramangala,Andheri,11.19,216.11,Card,Completed,2025-08-16 00:14:27
262,554,407,Indiranagar,Indiranagar,25.44,517.56,Cash,Completed,2026-06-17 15:22:21
263,779,108,Banjara Hills,Hitech City,24.09,537.23,Card,Completed,2026-05-17 04:17:38
264,209,191,Connaught Place,Indiranagar,15.68,331.93,UPI,Completed,2025-07-24 10:00:37
265,43,157,Gachibowli,Connaught Place,18.75,458.62,Cash,Cancelled,2026-01-31 16:25:20
266,463,11,Indiranagar,Indiranagar,3.79,69.66,Card,Cancelled,2026-01-14 11:44:45
267,999,430,Connaught Place,Andheri,27.0,430.17,Cash,Completed,2026-02-01 06:50:08
268,702,219,Andheri,Indiranagar,15.36,240.8,Card,Completed,2026-05-21 03:23:29
269,128,423,Hitech City,Hitech City,17.33,320.75,UPI,Completed,2025-11-16 14:44:49
270,192,367,Connaught Place,Andheri,28.92,696.71,Card,Completed,2026-01-21 19:02:41
271,167,113,Koramangala,Andheri,11.65,184.32,UPI,Cancelled,2025-08-31 19:49:15
272,27,458,Hitech City,Hitech City,19.46,454.61,Card,Completed,2026-03-31 03:12:47
273,558,102,Connaught Place,Connaught Place,20.41,340.27,Cash,Cancelled,2025-09-18 05:45:05
274,238,120,Gachibowli,Whitefield,16.17,328.54,Cash,Completed,2026-02-27 20:11:34
275,279,213,Indiranagar,Gachibowli,12.51,275.83,Card,Completed,2025-07-31 12:58:05
276,385,341,Connaught Place,Hitech City,27.12,533.65,UPI,Completed,2026-06-15 22:51:32
277,121,12,Hitech City,Gachibowli,2.12,39.54,Card,Cancelled,2025-08-15 13:29:32
278,423,70,Banjara Hills,Indiranagar,15.38,329.92,UPI,Completed,2026-02-09 05:45:40
279,591,193,Banjara Hills,Connaught Place,3.43,64.21,UPI,Cancelled,2026-04-05 16:20:37
280,868,41,Connaught Place,Banjara Hills,24.87,595.19,Card,Completed,2026-01-03 16:18:51
281,134,137,Andheri,Connaught Place,9.32,223.53,Card,Cancelled,2025-10-06 03:15:42
282,279,113,Connaught Place,Whitefield,3.4,77.28,Card,Cancelled,2026-04-18 06:44:23
283,605,470,Hitech City,Banjara Hills,23.52,558.81,Cash,Completed,2026-01-06 13:44:19
284,836,77,Connaught Place,Whitefield,27.95,628.67,Cash,Cancelled,2026-05-24 23:44:24
285,357,234,Whitefield,Hitech City,24.46,424.86,UPI,Completed,2026-06-12 02:41:23
286,532,85,Andheri,Banjara Hills,7.21,151.32,Cash,Completed,2026-01-06 17:15:45
287,411,130,Gachibowli,Whitefield,6.01,115.74,Cash,Completed,2026-04-10 11:54:52
288,42,38,Indiranagar,Whitefield,19.09,365.44,UPI,Cancelled,2026-02-08 20:17:23
